gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,salary
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,05/31/2016,2016,39257.31
F,HHS,Department of Health and Human Services,Nursing Home Inspections,Fulltime-Regular,Community Health Nurse II,03/26/2012,2012,81646.1
F,HHS,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Child Welfare Caseworker,12/08/1997,1997,46671.22
M,POL,Department of Police,FSB Special Operations Division Police Community Action Team,Fulltime-Regular,Police Officer III,12/02/2002,2002,83658.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,12/07/1998,1998,67206.0
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,12/17/1990,1990,100849.36
F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/21/2003,2003,89620.0
M,POL,Department of Police,ISB Criminal Investigations Division 4th District Investigative Section,Fulltime-Regular,Police Sergeant,08/31/1998,1998,103506.0
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,07/08/2002,2002,97912.0
F,DOT,Department of Transportation,Transportation Construction Section,Fulltime-Regular,Highway Construction Field Supervisor,10/07/2013,2013,88011.34
F,HHS,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,11/17/2003,2003,61707.0
M,FRS,Fire and Rescue Services,Safety,Fulltime-Regular,Fire/Rescue Captain,01/12/1998,1998,110229.0
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Manager III,10/22/2001,2001,119796.3
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,10/03/2005,2005,96792.26
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014,56478.0
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,07/28/2015,2015,72094.53
F,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer II (PFC),01/26/2015,2015,48145.0
F,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014,53788.0
M,FRS,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Fire/Rescue Assistant Chief,09/15/1986,1986,149529.08
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,08/08/2016,2016,39257.0
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,11/14/2005,2005,81492.0
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/28/2015,2015,40631.32
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,05/26/2015,2015,40631.32
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/31/1994,1994,66065.23
F,DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Information Technology Specialist II,06/17/2013,2013,77543.85
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Fire/Rescue Lieutenant,09/20/1993,1993,101176.43
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,12/01/1997,1997,25445.0
M,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Sergeant,09/18/1995,1995,107128.71
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Master Firefighter/Rescuer,06/07/2004,2004,80145.0
M,FRS,Fire and Rescue Services,Station 7,Fulltime-Regular,Master Firefighter/Rescuer,09/13/1987,1987,97224.98
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013,58773.0
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,05/20/2013,2013,50272.2
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,07/06/1992,1992,83497.98
F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer II,01/28/2013,2013,58455.0
M,POL,Department of Police,HQ Office of the Chief,Fulltime-Regular,Police Lieutenant,03/04/1991,1991,123902.96
F,POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Manager III,08/07/1995,1995,135392.0
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,07/12/2010,2010,70435.0
F,LIB,Department of Public Libraries,Gaithersburg Library,Fulltime-Regular,Library Associate,07/20/2013,2013,47940.3
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/08/2013,2013,43525.72
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,08/14/1989,1989,75277.02
F,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,10/07/2002,2002,59767.05
M,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,04/08/2013,2013,55429.52
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014,53788.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/27/2016,2016,39257.31
M,DLC,Department of Liquor Control,Montrose,Parttime-Regular,Liquor Store Clerk I,07/24/2005,2005,34172.68
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,05/29/2007,2007,19728.85
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,01/23/2006,2006,40105.92
F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,09/29/1997,1997,89620.0
M,DLC,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,10/21/1996,1996,54022.26
M,LIB,Department of Public Libraries,White Oak Library,Parttime-Regular,Library Assistant I,09/10/2012,2012,20934.07
F,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,04/02/2007,2007,36992.05
F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Program Specialist II,06/11/2007,2007,65780.67
M,DLC,Department of Liquor Control,Kensington,Parttime-Regular,Liquor Store Clerk I,09/18/2005,2005,36606.62
F,LIB,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Desk Assistant,11/18/1999,1999,27901.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,04/23/2012,2012,43243.96
F,POL,Department of Police,ISB Major Crimes Division,Fulltime-Regular,Office Services Coordinator,03/05/2007,2007,52447.27
M,DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist II,07/30/1989,1989,87523.22
M,DLC,Department of Liquor Control,Seneca Meadows,Parttime-Regular,Liquor Store Clerk I,04/23/2012,2012,29779.07
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,01/11/2015,2015,33395.0
M,POL,Department of Police,Management Services Bureau,Fulltime-Regular,Assistant Chief of Police,06/21/1987,1987,174166.0
M,POL,Department of Police,FSB Special Operations Division Police Community Action Team,Fulltime-Regular,Police Officer III,10/29/2007,2007,70435.0
M,DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Public Service Craftsworker I,05/12/2008,2008,53604.63
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,05/06/2013,2013,58157.89
M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,09/02/2008,2008,65530.0
F,OCP,Office of Consumer Protection,Investigations,Fulltime-Regular,Manager III,04/04/2016,2016,129142.5
M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014,50910.0
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,10/11/1999,1999,80784.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/05/2015,2015,42053.42
F,OHR,Office of Human Resources,Training and Organizational Development Team,Fulltime-Regular,Administrative Specialist I,05/31/2005,2005,69739.09
F,HHS,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Child Welfare Caseworker,11/29/1999,1999,46693.16
F,COR,Correction and Rehabilitation,Professional Standards Unit,Fulltime-Regular,Program Specialist II,12/27/2005,2005,80551.02
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,09/29/1997,1997,89620.0
M,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Public Administration Associate,11/16/2005,2005,51074.68
F,CCL,County Council,Council Central Staff,Parttime-Regular,Principal Administrative Aide,03/27/1995,1995,33534.54
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Council Member,12/06/2010,2010,128519.0
M,POL,Department of Police,PSB 1st District Traffic Squad,Fulltime-Regular,Police Officer III,02/06/1995,1995,92756.7
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),05/30/2000,2000,77328.0
M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Fire/Rescue Captain,08/14/1989,1989,114087.02
F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer II,07/01/2013,2013,58455.0
F,PIO,Office of Public Information,MC311,Fulltime-Regular,Administrative Specialist II,01/03/2000,2000,84974.0
F,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Fire/Rescue Assistant Chief,08/14/1989,1989,144472.55
F,HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Community Health Nurse II,11/04/2013,2013,85700.74
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/06/2003,2003,56688.39
F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,10/17/2005,2005,51253.43
F,CAT,County Attorney's Office,Support Services,Fulltime-Regular,Legal Secretary II,06/18/2000,2000,66687.72
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/18/2011,2011,65752.0
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,10/17/2005,2005,70396.0
F,FIN,Department of Finance,Tax Operations,Fulltime-Regular,Program Manager II,05/18/2015,2015,83817.3
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,11/28/2016,2016,48150.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/21/1995,1995,57807.08
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/09/1985,1985,66065.23
F,POL,Department of Police,ISB Family Crimes Division,Parttime-Regular,Office Services Coordinator,10/25/1999,1999,29534.52
F,HHS,Department of Health and Human Services,Senior Dental,Fulltime-Regular,Dental Hygienist,08/08/2005,2005,82851.51
F,OLO,Office of Legislative Oversight,Legislative Oversight Staff,Fulltime-Regular,Manager II,01/22/1985,1985,156478.83
M,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Deputy Sheriff Sergeant,08/31/1998,1998,93945.0
F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Social Worker III,03/30/1986,1986,100849.36
M,DPS,Department of Permitting Services,Fire Protection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,01/17/2012,2012,82632.68
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,06/25/1990,1990,92756.7
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,01/14/2013,2013,54709.01
M,DPS,Department of Permitting Services,Land Development Right-of-Way Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector II,11/08/1999,1999,84974.0
M,HHS,Department of Health and Human Services,Chief Special Needs Housing,Fulltime-Regular,Program Manager II,07/30/2012,2012,94413.37
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014,56478.0
F,POL,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Client Assistance Specialist,01/14/2002,2002,81066.0
M,POL,Department of Police,PSB 5th District Educational Facilities Officers,Fulltime-Regular,Police Officer III,06/25/1990,1990,92756.7
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Master Firefighter/Rescuer,12/13/2004,2004,77434.0
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008,63493.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Sergeant,08/19/1996,1996,107128.71
F,FRS,Fire and Rescue Services,Behavioral Health,Fulltime-Regular,Therapist II,03/06/2006,2006,97912.0
F,CAT,County Attorney's Office,Support Services,Fulltime-Regular,Principal Administrative Aide,11/27/2006,2006,58062.82
F,LIB,Department of Public Libraries,Marilyn J Praisner Library,Fulltime-Regular,Library Associate II,02/02/1981,1981,87523.22
F,HHS,Department of Health and Human Services,Adult Foster Care - Project Home,Fulltime-Regular,Social Worker III,02/22/2005,2005,97912.0
M,DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Manager III,09/12/1988,1988,134403.16
M,POL,Department of Police,Management Services Bureau,Fulltime-Regular,Maintenance Renovation and Inspection Specialist,06/22/1998,1998,84974.0
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Council Member,12/06/2010,2010,128519.0
M,DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Manager III,08/02/1982,1982,135392.0
M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector I,11/04/2008,2008,71264.02
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Manager III,08/15/1988,1988,132162.52
M,FRS,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,06/07/2004,2004,88168.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,01/06/2014,2014,42053.83
M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer II,03/17/2008,2008,67859.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,01/26/2004,2004,83658.0
F,REC,Department of Recreation,Programs and Administration Division,Fulltime-Regular,Manager II,04/08/1984,1984,156510.65
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007,67753.0
F,DTS,Department of Technology Services,EASD DCM Administration,Fulltime-Regular,Manager III,12/14/1998,1998,134763.1
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Master Firefighter/Rescuer,09/11/2000,2000,97560.0
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,11/30/2015,2015,42662.89
M,FRS,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,07/01/2002,2002,79057.66
M,COR,Correction and Rehabilitation,PTS Diversion Services,Fulltime-Regular,Manager III,07/21/1997,1997,102659.52
F,HHS,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Office Services Coordinator,12/12/2016,2016,41500.0
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,01/18/1994,1994,92756.7
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,02/24/2014,2014,48572.17
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/06/1997,1997,25445.0
F,DLC,Department of Liquor Control,Leisure World,Fulltime-Regular,Liquor Store Assistant Manager,01/07/2007,2007,51684.82
M,DLC,Department of Liquor Control,Flower Avenue,Parttime-Regular,Liquor Store Clerk I,10/11/2009,2009,29779.07
F,DEP,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Accountant/Auditor III,01/29/2001,2001,93396.0
M,FRS,Fire and Rescue Services,Station 7,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013,63445.0
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Master Firefighter/Rescuer,10/15/1979,1979,95187.98
F,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Senior Retirement Analyst,05/13/2001,2001,107657.0
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer II,09/29/2009,2009,64564.0
F,HHS,Department of Health and Human Services,Abused Persons Program,Parttime-Regular,Client Assistance Specialist,04/11/2010,2010,24534.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,03/13/2000,2000,72195.63
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,02/20/2007,2007,68015.0
F,FRS,Fire and Rescue Services,Procurement,Fulltime-Regular,Office Services Coordinator,09/08/1992,1992,69222.18
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,07/30/2013,2013,35552.78
F,DOT,Department of Transportation,Transit Operations and Planning,Fulltime-Regular,Program Specialist II,03/05/1979,1979,83066.61
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,08/05/2001,2001,46068.91
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Firefighter/Rescuer III,10/17/2005,2005,70396.0
F,REC,Department of Recreation,Facilities Division,Fulltime-Regular,Recreation Coordinator,04/09/2015,2015,44753.0
F,HHS,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Office Services Coordinator,01/07/2002,2002,65591.78
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Coordinator,05/01/2006,2006,54944.04
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016,50211.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Community Services Aide III,08/21/2006,2006,41688.0
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,01/14/2002,2002,85405.0
M,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,02/04/2008,2008,67235.97
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/12/2003,2003,56688.39
M,REC,Department of Recreation,Department of Recreation,Fulltime-Regular,Building Services Worker II,07/15/2001,2001,48500.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/17/2005,2005,20419.48
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer III,06/22/1997,1997,80829.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,02/03/2003,2003,80829.0
M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Fire/Rescue Captain,01/12/1998,1998,118930.0
M,CEC,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Aide,05/12/1996,1996,50890.0
F,COR,Correction and Rehabilitation,PRRS Reentry Services and Programs,Fulltime-Regular,Correctional Specialist III,05/31/2016,2016,59072.0
F,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,12/02/2013,2013,50951.05
M,PIO,Office of Public Information,MC311,Fulltime-Regular,Program Manager II,01/05/2009,2009,90854.45
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,06/02/2003,2003,53163.59
F,DPS,Department of Permitting Services,Land Development Permit Processing,Fulltime-Regular,Permit Technician II,10/07/2013,2013,64541.65
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Manager III,08/09/2004,2004,133720.77
F,CAT,County Attorney's Office,Human Resources and Appeals,Fulltime-Regular,Assistant County Attorney II,08/02/2010,2010,96359.63
F,REC,Department of Recreation,Office of the Director,Fulltime-Regular,Program Manager II,09/24/2001,2001,100047.95
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014,53788.0
M,LIB,Department of Public Libraries,Kensington Park Library,Parttime-Regular,Library Aide,08/16/2002,2002,15834.05
M,COR,Correction and Rehabilitation,DS MCCF Custody and Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),04/28/1997,1997,100688.0
F,DPS,Department of Permitting Services,Zoning and Site Plan Enforcement,Fulltime-Regular,Permit Technician III,11/28/2005,2005,69300.19
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/06/1992,1992,66065.23
F,HHS,Department of Health and Human Services,Health Care and Group Facilities,Fulltime-Regular,Program Manager II,08/04/1986,1986,105743.92
F,PIO,Office of Public Information,MC311,Fulltime-Regular,Program Manager II,08/16/1978,1978,104717.28
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,08/06/2007,2007,87843.5
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/17/1998,1998,53380.28
M,DTS,Department of Technology Services,EASD - DCM Services,Fulltime-Regular,Program Specialist II,05/15/1994,1994,87523.22
M,PRO,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Manager III,10/19/2015,2015,104042.63
F,FRS,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,09/11/2000,2000,107183.0
M,POL,Department of Police,FSB Traffic Division Collision Reconstruction,Fulltime-Regular,Police Officer III,02/09/1992,1992,92756.7
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,08/20/1990,1990,104717.28
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,08/24/2015,2015,39003.45
F,DPS,Department of Permitting Services,Building Construction Permit Processing,Fulltime-Regular,Permit Technician II,02/06/2006,2006,60526.62
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/04/2016,2016,39257.31
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service and Maintenance Team Supv,09/24/1996,1996,65578.23
F,FIN,Department of Finance,Tax Operations,Fulltime-Regular,Program Specialist II,05/07/1979,1979,86673.48
F,COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 3,Fulltime-Regular,Correctional Specialist II,03/04/2002,2002,82183.65
M,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Public Health Advisor,07/18/1994,1994,79815.21
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Motor Pool Attendant,07/10/2006,2006,39093.37
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,02/22/2016,2016,41220.18
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,07/29/2013,2013,55976.96
F,OLO,Office of Legislative Oversight,Legislative Oversight Staff,Fulltime-Regular,Administrative Specialist I,05/14/2007,2007,73801.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Principal Administrative Aide,10/13/2008,2008,48280.75
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Master Firefighter/Rescuer,02/20/2001,2001,88859.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),02/27/1995,1995,88008.35
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,07/18/2008,2008,68054.0
M,POL,Department of Police,PSB 2nd District Traffic Squad,Fulltime-Regular,Master Police Officer,07/06/1992,1992,97392.47
M,FRS,Fire and Rescue Services,Station 26,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013,58773.0
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),12/19/1988,1988,103708.64
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Public Service Craftsworker,11/27/2006,2006,64102.22
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013,52693.0
M,REC,Department of Recreation,Youth Development Youth Services,Fulltime-Regular,Recreation Specialist,09/13/1998,1998,84974.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Principal Administrative Aide,04/12/1993,1993,60201.44
F,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Code Enforcement Inspector III,08/06/2007,2007,72650.79
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Supervisor,05/16/1994,1994,99870.24
F,HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Senior Information Technology Specialist,10/02/2000,2000,118400.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,03/10/2003,2003,47446.21
F,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,11/04/1996,1996,81066.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Fulltime-Regular,Principal Administrative Aide,01/17/1995,1995,60201.44
M,LIB,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Librarian I,10/17/2016,2016,25967.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/04/2004,2004,43425.63
M,DEP,Department of Environmental Protection,Water Quality Monitoring and Planning,Fulltime-Regular,Water Quality Specialist I,09/14/1998,1998,77343.0
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Public Service Craftsworker,12/01/1997,1997,62435.61
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,08/09/1999,1999,97232.69
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,04/07/2015,2015,35552.39
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014,56478.0
F,REC,Department of Recreation,Countywide Programs Trips and Tours,Fulltime-Regular,Recreation Specialist,10/14/2002,2002,82537.73
F,CEC,Community Engagement Cluster,Business Management,Fulltime-Regular,Administrative Specialist II,08/04/1998,1998,81824.51
M,FRS,Fire and Rescue Services,Self Contained Breathing Apparatus (SCBA) Shop,Fulltime-Regular,Program Manager II,04/06/2015,2015,89416.14
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,06/24/2013,2013,36363.34
M,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,09/08/2015,2015,46504.21
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/21/1995,1995,51574.16
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,12/01/2014,2014,48571.6
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Master Police Officer,06/02/2003,2003,84871.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,05/21/2013,2013,43525.71
M,DLC,Department of Liquor Control,Kensington,Fulltime-Regular,Liquor Store Manager,08/08/2000,2000,73547.33
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,08/16/2004,2004,71908.0
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,09/04/2007,2007,65716.0
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),09/29/2008,2008,50183.0
F,DOT,Department of Transportation,Parking Management Financial Management,Fulltime-Regular,Senior Financial Specialist,03/28/1999,1999,97020.69
